name,manufacturer,basePrice,size,gunType,dmg,alpha,fireRate,fireRange,projectileSpeed
'WAR'," Vanduul (VNCL) ",,5,Laser Cannon," 1 750 "," 1 500 ",70," 2 800 ",700
'WARLORD'," Vanduul (VNCL) ",,3,Plasma Cannon," 500 "," 150 ",200," 1 540 ",1 400
'WASP'," Vanduul (VNCL) ",,2,Laser Cannon," 400 "," 40 ",600," 1 540 ",1 400
'WEAK'," Vanduul (VNCL) ",,1,Laser Cannon," 336 "," 28 ",720," 1 540 ",1 400
'WHIP'," Vanduul (VNCL) ",,2,Plasma Cannon," 403 "," 110 ",220," 1 540 ",1 400
'WRATH'," Vanduul (VNCL) ",,5,Plasma Cannon," 1 750 "," 1 500 ",70," 2 800 ",700
10-Series Greatsword," KnightBridge Arms (KBAR) ",11 050,2,Ballistic Cannon," 504 "," 138 ",220," 1 295 ",700
11-Series Broadsword," KnightBridge Arms (KBAR) ",23 100,3,Ballistic Cannon," 625 "," 188 ",200," 1 225 ",700
9-Series Longsword," KnightBridge Arms (KBAR) ",6 250,1,Ballistic Cannon," 425 "," 106 ",240," 1 225 ",700
Absolution," Preacher Armament (PRAR) ",19 950,5,Distortion Scattergun," 715 "," 536 ",80," 400 ",800
AD4B," Behring (BEHR) ",41 730,4,Ballistic Gatling," 1 366 "," 63 ",1 300," 1 400 ",700
AD5B," Behring (BEHR) ",55 840,5,Ballistic Gatling," 2 110 "," 97 ",1 300," 2 800 ",700
AD6B," Behring (BEHR) ",62 450,6,Ballistic Gatling," 3 060 "," 141 ",1 300," 2 800 ",700
Attrition-1," Hurston Dynamics (HRST) ",3 800,1,Laser Repeater," 336 "," 28 ",720," 1 540 ",1 400
Attrition-2," Hurston Dynamics (HRST) ",6 950,2,Laser Repeater," 400 "," 40 ",600," 1 540 ",1 400
Attrition-3," Hurston Dynamics (HRST) ",12 000,3,Laser Repeater," 500 "," 60 ",500," 1 540 ",1 400
Attrition-4," Hurston Dynamics (HRST) ",25 200,4,Laser Repeater," 640 "," 80 ",480," 1 540 ",1 400
Attrition-5," Hurston Dynamics (HRST) ",41 000,5,Laser Repeater," 1 013 "," 270 ",225," 2 800 ",700
Attrition-6," Hurston Dynamics (HRST) ",73 450,6,Laser Repeater," 1 167 "," 350 ",200," 2 800 ",700
ATVS," Behring (BEHR) ",8 250,2,Distortion Repeater," 236 "," 48 ",295," 1 540 ",1 400
BRVS," Behring (BEHR) ",8 850,2,Ballistic Repeater," 660 "," 66 ",600," 1 540 ",1 400
C-788," Behring (BEHR) ",23 500,4,Ballistic Cannon," 88 "," 106 ",50," 1 225 ",700
CF-117 Bulldog," Klaus & Werner (KLWE) ",3 700,1,Laser Repeater," 336 "," 28 ",720," 1 540 ",1 400
CF-227 Badger," Klaus & Werner (KLWE) ",6 150,2,Laser Repeater," 400 "," 40 ",600," 1 540 ",1 400
CF-337 Panther," Klaus & Werner (KLWE) ",10 500,3,Laser Repeater," 500 "," 60 ",500," 1 540 ",1 400
CF-447 Rhino," Klaus & Werner (KLWE) ",22 250,4,Laser Repeater," 640 "," 80 ",480," 1 540 ",1 400
CF-557 Galdereen," Klaus & Werner (KLWE) ",37 350,5,Laser Repeater," 1 013 "," 270 ",225," 2 800 ",700
CF-667 Mammoth," Klaus & Werner (KLWE) ",63 800,6,Laser Repeater," 1 167 "," 350 ",200," 2 800 ",700
Condemnation," Preacher Armament (PRAR) ",18 950,6,Distortion Scattergun," 1 000 "," 800 ",75," 400 ",800
CVSA," Behring (BEHR) ",12 400,2,Ballistic Cannon," 524 "," 143 ",220," 1 225 ",700
Deadbolt I," Esperia (ESPR) ",6 630,1,Ballistic Cannon," 425 "," 106 ",240," 1 225 ",700
Deadbolt II," Esperia (ESPR) ",12 690,2,Ballistic Cannon," 504 "," 138 ",220," 1 225 ",700
Deadbolt III," Esperia (ESPR) ",18 240,3,Ballistic Cannon," 625 "," 188 ",200," 1 225 ",700
Deadbolt IV," Esperia (ESPR) ",28 200,4,Ballistic Cannon," 788 "," 263 ",180," 1 225 ",700
Deadbolt V," Esperia (ESPR) ",69 030,5,Ballistic Cannon," 2 188 "," 1 875 ",70," 2 800 ",700
Deadbolt VI," Esperia (ESPR) ",114 614,6,Ballistic Cannon," 2 708 "," 2 500 ",65," 2 800 ",700
Dominance-1," Hurston Dynamics (HRST) ",7 100,1,Laser Scattergun," 400 "," 240 ",100," 400 ",800
Dominance-2," Hurston Dynamics (HRST) ",9 850,2,Laser Scattergun," 453 "," 320 ",85," 400 ",800
Dominance-3," Hurston Dynamics (HRST) ",17 950,3,Laser Scattergun," 513 "," 440 ",70," 400 ",800
DR Model-XJ1," Associated Science and Development (ASAD) ",1 450,1,Distortion Repeater," 160 "," 30 ",320," 1 540 ",1 400
DR Model-XJ2," Associated Science and Development (ASAD) ",3 000,2,Distortion Repeater," 207 "," 42 ",295," 1 540 ",1 400
DR Model-XJ3," Associated Science and Development (ASAD) ",6 150,3,Distortion Repeater," 243 "," 54 ",270," 1 540 ",1 400
Draugar," Apocalypse Arms (APAR) ",69 650,6,Ballistic Gatling," 1 473 "," 104 ",850," 1 540 ",1 400
EVSD," Behring (BEHR) ",7 200,2,Distortion Cannon," 280 "," 200 ",84," 1 225 ",700
FL-11," Kroneg (KRON) ",5 200,1,Laser Cannon," 340 "," 85 ",240," 1 225 ",700
FL-22," Kroneg (KRON) ",9 550,2,Laser Cannon," 403 "," 110 ",220," 1 225 ",700
FL-33," Kroneg (KRON) ",19 200,3,Laser Cannon," 500 "," 150 ",200," 1 225 ",700
